,City,Country,Latitude,Longitude,Date,Max Temperature (Celsius),Humidity(%),Cloudiness,Wind Speed(km/h)
350,kirovo-chepetsk,RU,58.55,50.04,1587947296,0.53,93,100,0.88
351,namatanai,PG,-3.67,152.43,1587947296,28.78,70,73,3.6
352,lillooet,CA,50.69,-121.94,1587947296,14.0,41,1,6.2
353,savannah bight,HN,16.45,-85.85,1587947296,27.78,79,1,12.91
354,tateyama,JP,34.98,139.87,1587947296,17.78,72,75,4.6
355,quang ngai,VN,15.12,108.8,1587947280,24.95,82,98,2.58
356,saint-philippe,RE,-21.36,55.77,1587947298,24.0,73,90,2.6
357,zhanakorgan,KZ,43.91,67.25,1587947298,22.05,49,16,4.76
358,kutum,SD,14.2,24.67,1587947298,21.82,15,17,2.29
359,codrington,AU,-38.27,141.97,1587947299,13.95,69,99,4.95
360,sorland,NO,67.67,12.69,1587947299,2.5,79,36,11.62
361,chokwe,MZ,-24.53,32.98,1587947299,18.61,90,0,1.1
362,vieux-habitants,GP,16.06,-61.77,1587947300,26.0,69,65,3.1
363,davila,PH,18.47,120.58,1587947300,30.0,74,20,0.5
364,itoman,JP,26.12,127.67,1587947300,20.0,82,75,3.6
365,tabuk,PH,17.42,121.44,1587947301,26.19,72,84,0.91
366,mananjary,MG,-21.22,48.33,1587947301,23.84,84,15,5.47
367,kamuli,UG,0.95,33.12,1587947301,18.07,69,96,1.55
368,marawi,PH,8.0,124.29,1587947301,28.89,76,95,1.79
369,midland,US,32.0,-102.08,1587947279,31.0,21,1,8.2
370,miraflores,MX,19.22,-98.81,1587947302,25.0,22,40,6.7
371,rio gallegos,AR,-51.62,-69.22,1587947302,2.0,74,13,1.5
372,ust-nera,RU,64.57,143.2,1587947302,-2.15,85,68,3.46
373,menongue,AO,-14.66,17.69,1587947302,15.24,48,8,1.89
374,panguna,PG,-6.32,155.48,1587947303,28.48,53,36,0.79
375,elizabeth city,US,36.29,-76.25,1587947303,21.0,56,20,1.5
376,olga,RU,43.74,135.29,1587947303,6.38,62,99,2.28
377,ashland,US,40.82,-82.27,1587947029,8.0,70,90,7.7
378,petatlan,MX,17.52,-101.27,1587947303,30.03,40,20,2.05
379,swan river,CA,52.11,-101.27,1587947304,8.34,64,71,10.06
380,benemerito de las americas,MX,16.52,-90.64,1587947304,34.83,25,43,1.05
